Date (DD.MM.YYYY);Index Code;Endeksler;Index Names In English;Number of Days;Value
30.11.2015;XU100;BIST 100;BIST 100;21;27.51
30.11.2015;XU100;BIST 100;BIST 100;42;23.43
30.11.2015;XU100;BIST 100;BIST 100;63;21.83
30.11.2015;XU100;BIST 100;BIST 100;126;23.09
30.11.2015;XU100;BIST 100;BIST 100;252;22.01
01.12.2015;XU100;BIST 100;BIST 100;21;21.20
01.12.2015;XU100;BIST 100;BIST 100;42;23.91
01.12.2015;XU100;BIST 100;BIST 100;63;22.15
01.12.2015;XU100;BIST 100;BIST 100;126;23.21
01.12.2015;XU100;BIST 100;BIST 100;252;22.07
02.12.2015;XU100;BIST 100;BIST 100;21;21.13
02.12.2015;XU100;BIST 100;BIST 100;42;23.94
02.12.2015;XU100;BIST 100;BIST 100;63;21.72
02.12.2015;XU100;BIST 100;BIST 100;126;22.96
02.12.2015;XU100;BIST 100;BIST 100;252;22.07
03.12.2015;XU100;BIST 100;BIST 100;21;20.78
03.12.2015;XU100;BIST 100;BIST 100;42;22.74
03.12.2015;XU100;BIST 100;BIST 100;63;21.87
03.12.2015;XU100;BIST 100;BIST 100;126;22.97
03.12.2015;XU100;BIST 100;BIST 100;252;22.05
04.12.2015;XU100;BIST 100;BIST 100;21;21.07
04.12.2015;XU100;BIST 100;BIST 100;42;23.01
04.12.2015;XU100;BIST 100;BIST 100;63;22.09
04.12.2015;XU100;BIST 100;BIST 100;126;23.05
04.12.2015;XU100;BIST 100;BIST 100;252;22.07
07.12.2015;XU100;BIST 100;BIST 100;21;20.92
07.12.2015;XU100;BIST 100;BIST 100;42;22.51
07.12.2015;XU100;BIST 100;BIST 100;63;21.92
07.12.2015;XU100;BIST 100;BIST 100;126;21.89
07.12.2015;XU100;BIST 100;BIST 100;252;22.07
08.12.2015;XU100;BIST 100;BIST 100;21;20.88
08.12.2015;XU100;BIST 100;BIST 100;42;22.63
08.12.2015;XU100;BIST 100;BIST 100;63;21.82
08.12.2015;XU100;BIST 100;BIST 100;126;21.93
08.12.2015;XU100;BIST 100;BIST 100;252;22.05
09.12.2015;XU100;BIST 100;BIST 100;21;22.49
09.12.2015;XU100;BIST 100;BIST 100;42;23.15
09.12.2015;XU100;BIST 100;BIST 100;63;22.17
09.12.2015;XU100;BIST 100;BIST 100;126;21.93
09.12.2015;XU100;BIST 100;BIST 100;252;22.13
10.12.2015;XU100;BIST 100;BIST 100;21;23.82
10.12.2015;XU100;BIST 100;BIST 100;42;24.17
10.12.2015;XU100;BIST 100;BIST 100;63;23.00
10.12.2015;XU100;BIST 100;BIST 100;126;22.23
10.12.2015;XU100;BIST 100;BIST 100;252;22.32
11.12.2015;XU100;BIST 100;BIST 100;21;24.73
11.12.2015;XU100;BIST 100;BIST 100;42;24.93
11.12.2015;XU100;BIST 100;BIST 100;63;23.72
11.12.2015;XU100;BIST 100;BIST 100;126;22.58
11.12.2015;XU100;BIST 100;BIST 100;252;22.43
14.12.2015;XU100;BIST 100;BIST 100;21;24.77
14.12.2015;XU100;BIST 100;BIST 100;42;24.77
14.12.2015;XU100;BIST 100;BIST 100;63;23.83
14.12.2015;XU100;BIST 100;BIST 100;126;22.50
14.12.2015;XU100;BIST 100;BIST 100;252;22.47
15.12.2015;XU100;BIST 100;BIST 100;21;29.62
15.12.2015;XU100;BIST 100;BIST 100;42;26.92
15.12.2015;XU100;BIST 100;BIST 100;63;25.17
15.12.2015;XU100;BIST 100;BIST 100;126;23.13
15.12.2015;XU100;BIST 100;BIST 100;252;22.41
16.12.2015;XU100;BIST 100;BIST 100;21;29.96
16.12.2015;XU100;BIST 100;BIST 100;42;26.99
16.12.2015;XU100;BIST 100;BIST 100;63;24.70
16.12.2015;XU100;BIST 100;BIST 100;126;23.15
16.12.2015;XU100;BIST 100;BIST 100;252;22.33
17.12.2015;XU100;BIST 100;BIST 100;21;30.49
17.12.2015;XU100;BIST 100;BIST 100;42;26.86
17.12.2015;XU100;BIST 100;BIST 100;63;24.67
17.12.2015;XU100;BIST 100;BIST 100;126;23.11
17.12.2015;XU100;BIST 100;BIST 100;252;22.17
18.12.2015;XU100;BIST 100;BIST 100;21;30.78
18.12.2015;XU100;BIST 100;BIST 100;42;26.95
18.12.2015;XU100;BIST 100;BIST 100;63;24.79
18.12.2015;XU100;BIST 100;BIST 100;126;23.20
18.12.2015;XU100;BIST 100;BIST 100;252;22.22
21.12.2015;XU100;BIST 100;BIST 100;21;31.20
21.12.2015;XU100;BIST 100;BIST 100;42;27.12
21.12.2015;XU100;BIST 100;BIST 100;63;24.91
21.12.2015;XU100;BIST 100;BIST 100;126;23.20
21.12.2015;XU100;BIST 100;BIST 100;252;22.18
22.12.2015;XU100;BIST 100;BIST 100;21;31.10
22.12.2015;XU100;BIST 100;BIST 100;42;27.05
22.12.2015;XU100;BIST 100;BIST 100;63;24.83
22.12.2015;XU100;BIST 100;BIST 100;126;23.20
22.12.2015;XU100;BIST 100;BIST 100;252;22.17
23.12.2015;XU100;BIST 100;BIST 100;21;27.98
23.12.2015;XU100;BIST 100;BIST 100;42;27.29
23.12.2015;XU100;BIST 100;BIST 100;63;24.87
23.12.2015;XU100;BIST 100;BIST 100;126;23.20
23.12.2015;XU100;BIST 100;BIST 100;252;22.20
24.12.2015;XU100;BIST 100;BIST 100;21;27.80
24.12.2015;XU100;BIST 100;BIST 100;42;27.20
24.12.2015;XU100;BIST 100;BIST 100;63;24.85
24.12.2015;XU100;BIST 100;BIST 100;126;23.16
24.12.2015;XU100;BIST 100;BIST 100;252;22.20
25.12.2015;XU100;BIST 100;BIST 100;21;26.65
25.12.2015;XU100;BIST 100;BIST 100;42;27.18
25.12.2015;XU100;BIST 100;BIST 100;63;24.60
25.12.2015;XU100;BIST 100;BIST 100;126;23.16
25.12.2015;XU100;BIST 100;BIST 100;252;22.20
28.12.2015;XU100;BIST 100;BIST 100;21;26.46
28.12.2015;XU100;BIST 100;BIST 100;42;27.18
28.12.2015;XU100;BIST 100;BIST 100;63;24.47
28.12.2015;XU100;BIST 100;BIST 100;126;22.97
28.12.2015;XU100;BIST 100;BIST 100;252;22.18
29.12.2015;XU100;BIST 100;BIST 100;21;26.44
29.12.2015;XU100;BIST 100;BIST 100;42;27.02
29.12.2015;XU100;BIST 100;BIST 100;63;24.49
29.12.2015;XU100;BIST 100;BIST 100;126;22.96
29.12.2015;XU100;BIST 100;BIST 100;252;22.18
30.12.2015;XU100;BIST 100;BIST 100;21;25.48
30.12.2015;XU100;BIST 100;BIST 100;42;23.48
30.12.2015;XU100;BIST 100;BIST 100;63;24.55
30.12.2015;XU100;BIST 100;BIST 100;126;22.98
30.12.2015;XU100;BIST 100;BIST 100;252;22.15
31.12.2015;XU100;BIST 100;BIST 100;21;26.19
